qvals.ex	ex.names	ex.class	ex.pct
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
0.999684940138626	NA	novel	NA
